,MinTemp,MaxTemp
0,8.0,24.3
1,14.0,26.9
2,13.7,23.4
3,13.3,15.5
4,7.6,16.1
5,6.2,16.9
6,6.1,18.2
7,8.3,17.0
8,8.8,19.5
9,8.4,22.8
10,9.1,25.2
11,8.5,27.3
12,10.1,27.9
13,12.1,30.9
14,10.1,31.2
15,12.4,32.1
16,13.8,31.2
17,11.7,30.0
18,12.4,32.3
19,15.6,33.4
20,15.3,33.4
21,16.4,19.4
22,12.8,18.5
23,12.0,24.3
24,15.4,28.4
25,15.6,26.9
26,13.3,22.2
27,12.9,28.0
28,15.1,24.3
29,13.6,24.1
30,15.1,20.4
31,11.6,26.3
32,16.6,24.2
33,13.3,26.5
34,14.5,21.8
35,16.3,26.8
36,17.2,25.8
37,16.5,28.2
38,15.0,29.4
39,14.9,24.8
40,11.8,18.5
41,11.7,21.5
42,9.6,20.3
43,8.9,27.1
44,10.1,29.9
45,15.5,21.1
46,10.8,21.7
47,7.5,20.9
48,12.8,21.0
49,12.6,23.1
50,14.8,29.5
51,19.9,22.0
52,9.2,20.4
53,12.4,24.4
54,11.3,21.7
55,9.8,26.3
56,14.3,26.7
57,15.1,28.3
58,14.4,31.6
59,15.4,35.0
60,13.8,33.5
61,13.6,34.2
62,14.3,35.0
63,15.9,23.4
64,16.7,25.3
65,12.1,27.5
66,14.3,34.1
67,16.5,33.9
68,16.5,30.3
69,17.5,29.9
70,14.7,34.2
71,17.5,35.8
72,20.9,35.7
73,17.0,33.8
74,16.0,22.8
75,15.4,33.8
76,17.9,33.2
77,15.2,25.1
78,15.1,20.4
79,15.3,19.6
80,17.2,24.7
81,15.9,19.9
82,10.0,22.5
83,9.9,24.4
84,10.3,27.8
85,15.4,25.7
86,12.7,28.8
87,13.2,31.3
88,15.3,33.2
89,17.9,33.9
90,18.0,34.9
91,17.6,27.8
92,16.0,23.8
93,14.9,28.8
94,17.1,29.6
95,18.2,22.6
96,16.8,22.8
97,13.6,27.4
98,14.5,24.2
99,12.4,19.9
100,10.4,20.9
101,9.1,23.1
102,8.9,26.0
103,14.5,24.2
104,12.6,18.2
105,8.6,24.2
106,10.8,25.2
107,11.2,26.1
108,12.1,24.1
109,10.8,25.8
110,11.4,27.1
111,12.0,28.9
112,16.3,24.8
113,12.7,28.6
114,12.7,25.1
115,12.0,23.8
116,11.5,25.9
117,13.0,28.2
118,11.7,27.6
119,14.8,17.3
120,7.7,18.4
121,4.4,21.8
122,7.4,24.4
123,8.3,27.3
124,10.1,28.2
125,12.0,27.6
126,12.9,31.8
127,10.8,29.2
128,9.5,27.4
129,12.1,27.8
130,12.5,31.7
131,13.9,34.7
132,13.3,31.7
133,13.2,33.1
134,12.3,33.8
135,13.8,35.2
136,11.3,32.3
137,11.7,30.2
138,12.5,29.9
139,15.1,26.2
140,11.5,29.3
141,13.0,14.8
142,11.6,19.6
143,12.8,24.9
144,15.5,22.4
145,13.1,17.4
146,12.6,20.2
147,4.4,18.3
148,4.4,18.2
149,7.1,18.5
150,4.2,18.9
151,9.6,18.8
152,3.5,21.8
153,5.3,23.3
154,7.0,14.3
155,0.4,18.9
156,3.2,21.4
157,5.9,21.8
158,8.1,20.5
159,6.9,18.9
160,5.6,19.5
161,7.2,22.9
162,7.1,23.4
163,6.1,24.1
164,7.1,19.8
165,5.6,18.0
166,5.4,20.7
167,6.3,19.3
168,5.3,21.0
169,7.9,19.7
170,8.4,16.1
171,8.1,18.7
172,2.4,20.6
173,5.6,18.9
174,7.5,19.0
175,2.5,21.2
176,5.0,20.9
177,3.8,21.7
178,7.9,18.7
179,4.3,11.3
180,-2.1,13.8
181,-1.8,14.8
182,3.8,13.8
183,2.1,17.3
184,0.5,17.1
185,-0.9,16.7
186,0.4,19.0
187,7.5,16.8
188,8.3,17.6
189,-0.2,18.1
190,0.1,21.0
191,1.5,20.9
192,8.3,17.4
193,9.4,19.2
194,1.3,19.0
195,2.2,18.6
196,-0.4,17.9
197,4.5,16.0
198,7.9,12.3
199,4.3,14.1
200,-2.7,18.1
201,0.3,17.0
202,3.8,17.4
203,2.4,14.7
204,1.2,14.8
205,1.2,14.5
206,-0.3,17.5
207,4.7,18.5
208,4.9,18.1
209,1.4,16.8
210,2.2,17.5
211,-0.1,18.0
212,-0.9,18.5
213,0.6,14.0
214,4.6,15.7
215,9.8,14.4
216,10.6,15.1
217,7.8,15.1
218,4.4,16.7
219,-0.2,15.5
220,4.3,14.5
221,7.4,16.3
222,8.6,13.7
223,10.2,15.0
224,7.3,16.4
225,8.7,13.0
226,1.0,11.8
227,2.1,14.7
228,6.4,16.9
229,5.4,15.5
230,0.4,15.5
231,4.0,15.9
232,8.4,11.7
233,0.4,13.9
234,4.2,14.0
235,0.9,12.9
236,0.8,13.0
237,4.3,12.6
238,6.3,11.8
239,3.5,14.3
240,-1.5,14.8
241,1.2,16.0
242,0.5,15.4
243,5.3,11.7
244,6.6,13.1
245,-1.6,11.5
246,-3.1,12.0
247,-0.1,14.2
248,-0.6,14.0
249,3.0,11.1
250,2.9,9.5
251,-1.3,8.8
252,1.8,8.7
253,2.9,8.4
254,-2.6,11.1
255,0.5,11.0
256,2.7,16.5
257,-1.7,13.6
258,-0.9,12.8
259,-1.8,11.5
260,1.3,10.6
261,2.4,11.6
262,-1.1,11.0
263,2.3,11.6
264,-2.2,11.6
265,-3.5,11.2
266,-1.0,12.2
267,-2.1,12.9
268,-2.0,11.3
269,-2.3,9.7
270,-1.6,10.7
271,0.8,12.2
272,-2.8,12.2
273,-2.8,14.1
274,3.0,9.7
275,4.4,11.5
276,2.3,12.8
277,-2.0,12.3
278,-1.9,10.9
279,4.8,14.1
280,-0.6,11.1
281,3.1,12.5
282,-2.9,9.6
283,-3.5,7.6
284,-0.3,9.3
285,0.1,10.4
286,2.3,12.2
287,2.1,10.7
288,4.6,14.7
289,3.7,14.2
290,-1.3,11.6
291,-3.4,12.5
292,-5.3,13.1
293,0.0,14.0
294,2.4,14.1
295,-0.6,12.2
296,2.3,11.6
297,-3.7,14.4
298,-0.9,14.2
299,-1.5,17.3
300,-3.3,15.1
301,-0.1,14.7
302,-0.2,16.2
303,0.5,16.3
304,6.1,17.2
305,4.1,14.8
306,0.1,16.7
307,3.2,12.1
308,5.4,11.3
309,5.8,12.4
310,6.3,16.1
311,-0.9,16.7
312,0.2,15.5
313,-3.7,14.7
314,-2.7,15.2
315,-2.5,16.6
316,-0.5,21.6
317,9.0,25.5
318,13.1,19.4
319,8.7,19.7
320,3.9,13.2
321,0.7,14.1
322,1.1,18.0
323,5.1,23.3
324,7.5,23.3
325,4.7,19.5
326,3.2,21.9
327,7.8,16.2
328,2.4,17.3
329,3.2,18.7
330,2.5,20.9
331,6.5,25.7
332,14.4,24.3
333,4.9,18.9
334,2.3,16.8
335,1.4,20.6
336,5.6,27.6
337,16.8,28.9
338,14.4,20.7
339,10.3,21.3
340,11.2,18.0
341,0.3,16.0
342,0.5,17.9
343,0.5,20.0
344,4.6,22.0
345,8.2,22.4
346,4.5,23.9
347,6.7,26.1
348,11.9,21.1
349,9.2,19.6
350,4.4,21.0
351,5.0,24.1
352,6.7,24.7
353,8.3,28.5
354,11.3,27.4
355,9.0,20.6
356,3.4,15.0
357,3.2,18.0
358,0.9,20.7
359,3.3,25.5
360,7.9,26.1
361,9.0,30.7
362,7.1,28.4
363,12.5,19.9
364,12.5,26.9
365,12.3,30.2
